experiment,repetition,measured_mlu,json_expected_mlu,recv_bytes_node0,recv_bytes_node1,recv_bytes_node2,recv_bytes_node3,recv_bytes_node4,recv_bytes_node11,recv_bytes_node12,recv_bytes_node13,recv_bytes_node14,sent_bytes_node0,sent_bytes_node1,sent_bytes_node2,sent_bytes_node3,sent_bytes_node4,sent_bytes_node11,sent_bytes_node12,sent_bytes_node13,sent_bytes_node14
baseline_ecmp,1,1.893147,2.0,611515997,321802469,2826,1834,611517981,1398178,1460529,1424064,1461474,611516147,321802319,2826,1834,611517831,151405799,151468493,151431685,151469267
baseline_ecmp,2,2.396451,2.0,611041942,246069809,2826,1598,611043926,1503872,1302288,1425354,1275456,611041856,246069959,2826,1834,611043926,151511837,151310253,151432975,151283249
baseline_ecmp,3,2.647047,2.0,610644794,208282523,2676,1834,610646928,1416066,1187306,1348470,1356148,610644794,208282523,2826,1684,610646928,151423687,151194841,151356423,151365345
baseline_ecmp,4,1.639577,2.0,611259856,359710529,2826,1834,611261840,1409960,1357156,1389946,1458378,611259856,359710529,2826,1834,611261754,151417581,151365121,151399057,151465999
baseline_ecmp,5,3.028165,2.0,611230627,151407250,2826,1834,611232375,1420280,1420194,1339784,1421055,611230391,151407250,2826,1834,611232225,151428245,151428073,151347663,151428675
baseline_ecmp,6,2.020466,2.0,611681866,302788170,2826,1748,611683764,1482716,1421152,1481942,1440748,611682038,302788256,2826,1834,611683872,151490337,151430381,151489907,151448197
baseline_ecmp,7,1.387995,2.0,611569208,397601905,2826,1748,611571278,1416410,1400758,1456056,1497508,611569058,397602055,2826,1834,611571278,151424203,151408293,151464021,151505387
baseline_ecmp,8,1.893624,2.0,611556239,321755382,2826,1834,611558223,1406778,1481709,1442578,1428880,611555939,321755382,2826,1834,611558137,151414743,151490733,151457315,151436845
baseline_ecmp,9,2.138975,2.0,610093018,284216729,2826,1834,610095088,1388546,1369540,1126074,1148606,610093104,284216729,2654,1834,610095088,151396511,151377075,151133781,151156313
baseline_ecmp,10,2.142815,2.0,610841638,284015954,2740,1834,610843708,1371862,1305986,1370314,1358040,610841724,284015954,2740,1748,610843558,151379569,151313607,151378279,151367409
icajh_srv6,1,1.012442,1.0,612216450,455577945,151848259,1834,612218448,1269866,1270210,1256622,1418388,612216450,455577945,151848345,1834,612218684,151865751,151866255,151846347,151426353
icajh_srv6,2,1.012396,1.0,612166701,455547201,151860945,1834,612168785,1244926,1265566,1265222,1419421,612166787,455547201,151860945,1834,612168721,151829211,151859451,151858947,151427385
icajh_srv6,3,1.012453,1.0,612251233,455596215,151863969,1834,612253317,1270468,1271414,1267287,1420452,612251319,455596215,151863969,1834,612253381,151866633,151868019,151861971,151428417
icajh_srv6,4,1.01244,1.0,612238064,455591215,151862055,1834,612240126,1270039,1269694,1266083,1417958,612238064,455591301,151862205,1834,612239976,151866003,151865499,151860207,151425923
icajh_srv6,5,1.012412,1.0,612177452,455556187,151863757,1834,612179836,1248281,1266426,1267201,1417356,612177924,455556273,151863843,1834,612180008,151834125,151860711,151861845,151425321
icajh_srv6,6,1.012418,1.0,612178380,455555265,151864725,1834,612180614,1247507,1265911,1267803,1418475,612178466,455555265,151864725,1834,612180614,151832991,151859955,151862727,151426439
icajh_srv6,7,1.012381,1.0,611928038,455405199,151856409,1834,611930186,1264105,1152649,1262127,1419679,611927802,455405199,151856409,1834,611930272,151857183,151694013,151854411,151427213
icajh_srv6,8,1.012457,1.0,612239460,455594073,151864599,1834,612241458,1268233,1271758,1267975,1416324,612239460,455594073,151864599,1834,612241608,151863357,151868523,151862601,151424031
icajh_srv6,9,1.012445,1.0,612234506,455590041,151862205,1834,612236890,1268319,1270641,1266083,1417357,612234678,455590041,151862205,1834,612236826,151863483,151866759,151860207,151425321
icajh_srv6,10,1.012446,1.0,612243404,455595585,151865733,1834,612245702,1270641,1269609,1268491,1417099,612243554,455595585,151865733,1834,612245702,151866885,151865373,151863735,151425063
