run_id,experiment,topology_file,valid,total_mbps,flow_11_21_mbps,flow_12_22_mbps,flow_13_23_mbps,flow_14_24_mbps,flow_11_21_duration,flow_12_22_duration,flow_13_23_duration,flow_14_24_duration,measured_mlu,json_expected_mlu,node_0_recv_bytes,node_0_tx_bytes,node_1_recv_bytes,node_1_tx_bytes,node_2_recv_bytes,node_2_tx_bytes,node_3_recv_bytes,node_3_tx_bytes,node_4_recv_bytes,node_4_tx_bytes,node_11_recv_bytes,node_11_tx_bytes,node_12_recv_bytes,node_12_tx_bytes,node_13_recv_bytes,node_13_tx_bytes,node_14_recv_bytes,node_14_tx_bytes
baseline_ecmp_rep01,baseline_ecmp,ICAWeights13.topo.sh,True,39.9969,9.9994,9.9991,9.9994,9.999,120.02,120.02,120.02,120.02,1.893147,2.0,611515997,611516147,321802469,321802319,2826,2826,1834,1834,611517981,611517831,1398178,151405799,1460529,151468493,1424064,151431685,1461474,151469267
baseline_ecmp_rep02,baseline_ecmp,ICAWeights13.topo.sh,True,39.9966,9.999,9.9991,9.9995,9.999,120.02,120.02,120.02,120.02,2.396451,2.0,611041942,611041856,246069809,246069959,2826,2826,1598,1834,611043926,611043926,1503872,151511837,1302288,151310253,1425354,151432975,1275456,151283249
baseline_ecmp_rep03,baseline_ecmp,ICAWeights13.topo.sh,True,39.9969,9.9993,9.9994,9.9991,9.9991,120.02,120.02,120.02,120.02,2.647047,2.0,610644794,610644794,208282523,208282523,2676,2826,1834,1684,610646928,610646928,1416066,151423687,1187306,151194841,1348470,151356423,1356148,151365345
baseline_ecmp_rep04,baseline_ecmp,ICAWeights13.topo.sh,True,39.9974,9.9993,9.9994,9.9994,9.9993,120.02,120.02,120.02,120.02,1.639577,2.0,611259856,611259856,359710529,359710529,2826,2826,1834,1834,611261840,611261754,1409960,151417581,1357156,151365121,1389946,151399057,1458378,151465999
baseline_ecmp_rep05,baseline_ecmp,ICAWeights13.topo.sh,True,39.9976,9.9994,9.9994,9.9993,9.9995,120.02,120.02,120.02,120.02,3.028165,2.0,611230627,611230391,151407250,151407250,2826,2826,1834,1834,611232375,611232225,1420280,151428245,1420194,151428073,1339784,151347663,1421055,151428675
baseline_ecmp_rep06,baseline_ecmp,ICAWeights13.topo.sh,True,39.9969,9.9992,9.9995,9.9991,9.9991,120.02,120.01,120.02,120.02,2.020466,2.0,611681866,611682038,302788170,302788256,2826,2826,1748,1834,611683764,611683872,1482716,151490337,1421152,151430381,1481942,151489907,1440748,151448197
baseline_ecmp_rep07,baseline_ecmp,ICAWeights13.topo.sh,True,39.9956,9.9991,9.9985,9.9986,9.9994,120.02,120.03,120.03,120.02,1.387995,2.0,611569208,611569058,397601905,397602055,2826,2826,1748,1834,611571278,611571278,1416410,151424203,1400758,151408293,1456056,151464021,1497508,151505387
baseline_ecmp_rep08,baseline_ecmp,ICAWeights13.topo.sh,True,39.9966,9.9991,9.9991,9.9991,9.9993,120.02,120.02,120.02,120.02,1.893624,2.0,611556239,611555939,321755382,321755382,2826,2826,1834,1834,611558223,611558137,1406778,151414743,1481709,151490733,1442578,151457315,1428880,151436845
baseline_ecmp_rep09,baseline_ecmp,ICAWeights13.topo.sh,True,39.9964,9.999,9.9992,9.9991,9.9991,120.02,120.02,120.02,120.02,2.138975,2.0,610093018,610093104,284216729,284216729,2826,2654,1834,1834,610095088,610095088,1388546,151396511,1369540,151377075,1126074,151133781,1148606,151156313
baseline_ecmp_rep10,baseline_ecmp,ICAWeights13.topo.sh,True,39.9964,9.999,9.9994,9.9989,9.9991,120.02,120.02,120.02,120.02,2.142815,2.0,610841638,610841724,284015954,284015954,2740,2740,1834,1748,610843708,610843558,1371862,151379569,1305986,151313607,1370314,151378279,1358040,151367409
