run_id,experiment,valid,total_mbps,measured_mlu,json_expected_mlu,flow_11_21_mbps,flow_12_22_mbps,flow_13_23_mbps,flow_14_24_mbps
baseline_ecmp_rep01,baseline_ecmp,True,39.9969,1.893147,2.0,9.9994,9.9991,9.9994,9.999
baseline_ecmp_rep02,baseline_ecmp,True,39.9966,2.396451,2.0,9.999,9.9991,9.9995,9.999
baseline_ecmp_rep03,baseline_ecmp,True,39.9969,2.647047,2.0,9.9993,9.9994,9.9991,9.9991
baseline_ecmp_rep04,baseline_ecmp,True,39.9974,1.639577,2.0,9.9993,9.9994,9.9994,9.9993
baseline_ecmp_rep05,baseline_ecmp,True,39.9976,3.028165,2.0,9.9994,9.9994,9.9993,9.9995
baseline_ecmp_rep06,baseline_ecmp,True,39.9969,2.020466,2.0,9.9992,9.9995,9.9991,9.9991
baseline_ecmp_rep07,baseline_ecmp,True,39.9956,1.387995,2.0,9.9991,9.9985,9.9986,9.9994
baseline_ecmp_rep08,baseline_ecmp,True,39.9966,1.893624,2.0,9.9991,9.9991,9.9991,9.9993
baseline_ecmp_rep09,baseline_ecmp,True,39.9964,2.138975,2.0,9.999,9.9992,9.9991,9.9991
baseline_ecmp_rep10,baseline_ecmp,True,39.9964,2.142815,2.0,9.999,9.9994,9.9989,9.9991
icajh_srv6_rep01,icajh_srv6,True,39.9977,1.012442,1.0,9.9994,9.9994,9.9994,9.9995
icajh_srv6_rep02,icajh_srv6,True,39.9977,1.012396,1.0,9.9995,9.9994,9.9994,9.9994
icajh_srv6_rep03,icajh_srv6,True,39.9976,1.012453,1.0,9.9994,9.9994,9.9994,9.9994
icajh_srv6_rep04,icajh_srv6,True,39.9977,1.01244,1.0,9.9994,9.9994,9.9994,9.9995
icajh_srv6_rep05,icajh_srv6,True,39.9977,1.012412,1.0,9.9995,9.9995,9.9994,9.9993
icajh_srv6_rep06,icajh_srv6,True,39.9975,1.012418,1.0,9.9994,9.9994,9.9994,9.9993
icajh_srv6_rep07,icajh_srv6,True,39.9978,1.012381,1.0,9.9995,9.9994,9.9994,9.9995
icajh_srv6_rep08,icajh_srv6,True,39.9978,1.012457,1.0,9.9995,9.9994,9.9995,9.9994
icajh_srv6_rep09,icajh_srv6,True,39.9978,1.012445,1.0,9.9995,9.9995,9.9994,9.9994
icajh_srv6_rep10,icajh_srv6,True,39.9979,1.012446,1.0,9.9995,9.9995,9.9994,9.9995
